ID,nome,descrição,tipo,escopo,definição/default,tela,endpoints,validação,armazenamento,cache/invalidação,precedência,consumidor,efeito,necessidade de reload/restart,paridade entre clientes,classificação,evidências
USR-014,Fuso horário,Fuso IANA dentre cinco valores aceitos,enum/string,usuário autenticado,America/Sao_Paulo,Configurações > Idioma e região,GET/PATCH /api/users/me/settings,lista no DTO/domínio + CHECK,PostgreSQL user_system_settings.timezone; localStorage,settings query invalidada,autenticada → default,formatDate central; dataset de preferências,datas são convertidas para o timezone persistido com fallback seguro,reload recupera,somente web expõe,totalmente integrada,shared/lib/formatters.ts; formatters.test.ts; validação UserSettings
USR-015,Reduzir movimento,Preferência de acessibilidade para minimizar movimento,boolean,usuário autenticado,false,Configurações > Acessibilidade,GET/PATCH /api/users/me/settings,NOT NULL,PostgreSQL user_system_settings.reduce_motion; localStorage,aplicação imediata,preferência explícita prevalece sobre animations,applySystemPreferences; CSS,remove animações/transições,imediato,somente web,totalmente integrada,accessibility.ts; accessibility.test.ts
USR-016,Alto contraste,Aumenta contraste visual,boolean,usuário autenticado,false,Configurações > Acessibilidade,GET/PATCH /api/users/me/settings,NOT NULL,PostgreSQL user_system_settings.high_contrast; localStorage,aplicação imediata,autenticada/local → default,applySystemPreferences; CSS,ativa classe de alto contraste,imediato,somente web,totalmente integrada,accessibility.ts; accessibility.test.ts
USR-017,Idioma da interface web,Idioma do i18next e do header HTTP,enum client-side,dispositivo/navegador,pt-BR; pt-BR|en-US|es-ES,Configurações > Idioma; rodapé,nenhum endpoint próprio,isSupportedLanguage/i18next,localStorage i18nextLng,i18next troca recursos; queries dependentes podem ser recarregadas,localStorage → detecção → pt-BR,i18next; interceptor HTTP,traduz UI e envia Accept-Language,UI informa reload; mudança i18next é imediata,mobile usa SecureStore separado,totalmente integrada,i18n/config.ts:168; useInterfaceLang.ts; httpInterceptors.ts:29
USR-018,Idiomas de conteúdo autenticado,Cadeia ordenada usada para catálogo e UGC,lista BCP 47,usuário autenticado,[pt-BR],Configurações > Idioma; rodapé,GET/PATCH /api/users/me/content-locales,@NotEmpty/@NotBlank + normalização Locale,PostgreSQL users.content_locales jsonb,useContentLocales invalida queries e recarrega,usuário → Accept-Language → pt-BR,LocaleResolutionService e serviços localizados,seleciona conteúdo/labels localizados,reload controlado após escrita,web sim; mobile só envia idioma de interface,totalmente integrada,"prova en-us→en-US, GET posterior, HTTP 400 vazio e restauração; LocaleResolutionService.java:52"
USR-019,Idiomas de conteúdo convidado,Preferência de conteúdo sem autenticação,lista,convidado,[pt-BR],Configurações > Idioma,nenhum endpoint,garante lista não vazia apenas em memória,nenhum armazenamento para convidado,nenhuma,default pt-BR,useReadingLangs,controle aparenta aceitar mudança mas volta ao default,não persiste após reload,web apenas,somente visual,useReadingLangs.ts:11-24; query/mutation desabilitadas quando deslogado
USR-020,Gêneros favoritos,Até dez slugs escolhidos pelo usuário,lista de vocabulário,usuário autenticado,[]; máximo 10,Perfil > edição,GET/PATCH /api/users/me/favorite-genres,"@Size(10), @NotBlank, normalização e existência no vocabulário",PostgreSQL users.favorite_genres jsonb,query de perfil atualizada,usuário → vazio,perfil e seleção manual,exibe preferências; não alimenta recomendação automática,imediato/reload,web; não mobile,parcialmente integrada,User.java:161-191; FavoriteGenresField; TODO de sugestão automática
PRV-001,Visibilidade de comentários,"PUBLIC, PRIVATE ou DO_NOT_TRACK",enum,usuário,PUBLIC,Perfil/privacidade,PATCH /api/users/me/privacy; GET /api/users/{id}/comments,Enum.valueOf; CHECK,PostgreSQL user_profile_settings.comment_visibility,sem cache dedicado,dono → regra; terceiros/anônimo só PUBLIC,política de coleta e leitura de comentários; perfil,PRIVATE restringe leitura; DO_NOT_TRACK também impede coleta,imediato,web; não mobile,totalmente integrada,VisibilitySetting; use cases de comentário/perfil; testes dono/terceiro/anônimo e DNT
PRV-002,Visibilidade/rastreamento de histórico,"PUBLIC, PRIVATE ou DO_NOT_TRACK",enum,usuário,PUBLIC,Perfil/privacidade,PATCH /api/users/me/privacy; GET history/feed,Enum.valueOf; CHECK,PostgreSQL user_profile_settings.view_history_visibility; Mongo view_history/activity_events/user_chapter_reads,limpeza cross-Mongo ao entrar/sair de DO_NOT_TRACK; sem cache,DO_NOT_TRACK bloqueia gravação e leitura; PRIVATE oculta de terceiros,"Record/Get history, chapter reads e activity feed",aplica privacidade e não rastreamento; progresso pessoal é preservado por decisão explícita,imediato,web; não mobile,totalmente integrada,UpdatePrivacySettingsUseCase.java:22-59; RecordViewHistoryUseCase.java:59; RecordActivityEventUseCase.java:42; testes direcionados verdes
PRV-003,Visibilidade da biblioteca,"PUBLIC, PRIVATE ou DO_NOT_TRACK",enum,usuário,PUBLIC,Perfil/privacidade,PATCH /api/users/me/privacy; endpoints de biblioteca pública,Enum.valueOf; CHECK,PostgreSQL user_profile_settings.library_visibility,sem cache dedicado,dono sempre; terceiros/anônimo só PUBLIC,LibraryVisibilityService e use cases,oculta biblioteca de terceiros,imediato,web; não mobile,totalmente integrada,LibraryVisibilityService.java; GetUserLibraryUseCase.java:30; prova PRIVATE
PRV-004,Conteúdo adulto,"BLUR, SHOW ou HIDE",enum,usuário,BLUR,Perfil/privacidade,PATCH /api/users/me/privacy; auth/profile,Enum.valueOf; CHECK,PostgreSQL user_profile_settings.adult_content_preference,sem cache dedicado,autenticada → BLUR,consultas de catálogo/biblioteca e MangaCard,HIDE exclui no servidor; BLUR oculta visualmente até revelação; SHOW exibe,reload recupera,web; não mobile,totalmente integrada,LibraryAdultContentService; adultContentPolicy.ts; MangaCard.tsx; testes de busca/lista/card
MOB-001,Tema mobile,Override light/dark ou esquema do sistema,enum local,dispositivo,null = sistema,nenhuma tela de configurações,nenhum endpoint,light|dark|null,SecureStore mr_theme_override + Zustand,hydrate no gate,SecureStore → sistema,ThemeProvider,tema funciona quando store é alterado programaticamente,reinício reidrata,sem sincronização com web/API,parcialmente integrada,settingsStore.ts; ThemeProvider; mobile sem tela completa
MOB-002,Idioma mobile,Idioma de UI e Accept-Language,enum local,dispositivo,pt-BR,nenhuma tela de configurações,nenhum endpoint,isSupportedLanguage,SecureStore mr_language + Zustand,hydrate no gate,SecureStore → pt-BR,SettingsGate; i18n; apiClient,troca recursos e Accept-Language; sessão autenticada sobrevive ao restart,reinício reidrata,separado de contentLocales/web,parcialmente integrada,settingsStore.ts; SettingsGate.tsx; apiClient.ts; login demo e reopen no iPhone 17 Simulator/iOS 26.5
MOB-003,URL da API mobile,Origem da API Expo,string operacional,build/processo,EXPO_PUBLIC_API_URL ou http://localhost:8080,não aplicável,clientes /api e /api/auth/refresh,nenhuma validação de URL,env de build,não aplicável,env → fallback localhost,Axios mobile,define destino das chamadas,requer rebuild/restart Expo,mobile apenas,totalmente integrada,mobile/src/shared/api/apiClient.ts:8
ADM-001,Labels de domínio,Vocabulário multilíngue para enums/status/categorias,tabela de vocabulário,global/admin,type+value únicos; label_i18n obrigatório,painel/admin e componentes localizados,/api/domain-labels; endpoints admin correspondentes,"unique(type,value), NOT NULL",PostgreSQL domain_labels em BCNF,React Query por tipo/locale; Vary Accept-Language,DB → fallback de locale,DomainLabelService e selects,rótulos reutilizáveis e localizados,imediato após refetch,web/admin; mobile consome API quando usado,totalmente integrada,DomainLabel.java:24; schema real; índice único
ADM-002,Tags/gêneros,Vocabulário reutilizável para títulos e preferências,tabela de vocabulário,global/admin,slug/labels persistidos,Admin > Tags; perfil,"/api/tags, /api/tags/admin, search",DTO + unicidade; favorite genres verifica existência,PostgreSQL tags,cache TAG invalidado depois do commit das mutações,DB/cache → consumidor,serviços de catálogo e seletores,controla filtros e preferências,pode ficar stale até TTL,web/admin,totalmente integrada,Create/Update/DeleteTagUseCase + CacheInvalidationPort; testes commit/rollback
ADM-003,Planos de assinatura,"Preço, período, descrições, features e flag active",entidade/configuração comercial,global/admin,dados seed/migration; preço em centavos,Admin > Assinaturas,/api/subscription/plans e /api/admin/subscriptions/plans,DTO; constraints e tipos monetários,PostgreSQL subscription_plans e prices normalizados,cache SUBSCRIPTION_PLANS invalidado depois do commit,DB/cache → público,GetSubscriptionPlansUseCase,controla oferta comercial,pode ficar stale até TTL,web/admin,totalmente integrada,Create/UpdateSubscriptionPlanUseCase + AfterCommitCacheInvalidationAdapter; testes
ADM-004,Flags e status de domínio,"Estados canônicos que controlam publicação, pagamento, evento, loja e assinatura",enums/regras,global/admin,enums por domínio; alguns labels DB-backed,painel administrativo,endpoints admin específicos,valueOf/fromValue + DTO; constraints variam por tabela/coleção,PostgreSQL/Mongo conforme domínio,queries React Query; invalidação por slice,estado persistido → regra de domínio,use cases de publicação/visibilidade/financeiro,altera comportamento real,imediato/refetch,admin web,totalmente integrada,"NewsStatus, SubscriptionStatus, PaymentStatus, EventStatus, StoreStatus; controllers admin"
ADM-005,Capítulos no admin,"Cadastro, status, agendamento e métricas provisórias",estado local provisório,dispositivo admin,mr:chapters:admin:v1,Dashboard > Capítulos,GET/POST/PATCH/DELETE /api/admin/chapters; POST /{id}/status; POST /import-legacy,Bean Validation + domínio; status/agendamento; optimistic version; autorização ADMIN,MongoDB chapters; legado local somente para importação/testes,React Query invalidada pelas mutações HTTP,Mongo/API autoritativos; localStorage nunca é fallback de produção,AdminChapterUseCase/Controller; gateways HTTP; dashboard,"CRUD editorial, status, agendamento, soft delete e analytics reais; páginas read-only sem mídia",imediato; persiste após restart,admin web; API protegida,parcialmente integrada,"AdminChapterController; httpChapter*Gateway; Mongock V025/V026; 49 capítulos; anônimo 401, demo 403, admin 200"
ACT-001,Métrica de cache no painel,Uso e capacidade exibidos ao usuário,constante visual,dispositivo,navigator.storage.estimate; fallback 0/0,Configurações > Dados,nenhum,nenhuma,StorageManager do navegador,nenhuma,hardcode,DataTab/ProgressBar,exibe uso e quota reais do cliente,imediato,web apenas,totalmente integrada,queryCache.ts measureClientCache; DataTab.tsx; navegador mostrou medição real
ACT-002,Limpar cache,Ação para limpar cache do leitor,ação,dispositivo/servidor esperado,botão + confirmação,Configurações > Dados,nenhum,confirmação visual,React Query e Cache Storage do navegador,nenhuma,não aplicável,clearClientCache,limpa queries e entradas de Cache Storage sem apagar sessão/preferências,imediato,web apenas,totalmente integrada,queryCache.ts; DataTab.tsx; testes de sucesso/erro
ACT-003,Exportar biblioteca,Baixar lista em CSV ou JSON,ação,usuário,botão,Configurações > Dados,GET /api/users/me/data-export,autenticação; export versionado e tipado,download JSON gerado a partir dos dados do usuário,nenhuma,não aplicável,ExportUserDataUseCase; Blob/download do DataTab,baixa arquivo mangahost-data-export-AAAA-MM-DD.json,imediato,web apenas,totalmente integrada,UserDataExportController; userService.exportMyData; DataTab.runExport; testes
ACT-004,Importar biblioteca,"Importar MAL, AniList ou CSV",ação,usuário,modal/opções,"Configurações > Dados, botão desabilitado",nenhum,não aplicável; funcionalidade indisponível,nenhum,nenhuma,não aplicável,nenhum,não executa ação nem simula sucesso,imediato,web apenas,não encontrada,DataTab.tsx: Button disabled e label importUnavailable; bloqueada até contrato seguro
ACT-005,Limpar histórico,Remover histórico deste dispositivo/conta,ação,usuário,botão + confirmação,Configurações > Dados,DELETE /api/users/me/tracked-history,autenticação e política de ownership,Mongo view_history/activity_events/user_chapter_reads conforme política,invalida React Query somente após resposta bem-sucedida,não aplicável,ClearBehaviorHistoryUseCase; DataTab,remove histórico rastreado real com confirmação,imediato,web apenas,totalmente integrada,UserController; clearMyTrackedHistory; DataTab.runConfirm; testes API/web
ACT-006,Notificações,Central e preferências de notificações,feature,usuário,placeholder “em breve”,/notifications,nenhum domínio/endpoint encontrado,nenhuma,nenhuma,nenhuma,não aplicável,página estática,não há notificações nem preferências,não aplicável,web placeholder; mobile ausente,não encontrada,prova visual da página vazia; DT-44
OPS-001,Profile e precedência Spring,Configuração operacional por YAML/profile/env,config operacional,processo API,default; prod; test; jwt-test,não aplicável,actuator/env não exposto,binding Spring,application.yml + application-prod.yml + env,não aplicável,env/profile → YAML → default de placeholder,Spring Boot,"define conexões, segurança e comportamento",restart obrigatório,backend/jobs,totalmente integrada,application.yml:1-5; prova SERVER_PORT=18080 e datasource por env
OPS-002,URL da API web,Base URL dos clientes Axios,string operacional,build web,VITE_API_BASE_URL; vazio usa same-origin/proxy,não aplicável,todos endpoints web,nenhuma validação de URL,env Vite,não aplicável,env → same-origin,httpClient/API_URLS,define destino da API,rebuild/restart Vite,web apenas,totalmente integrada,API_URLS.ts:7; httpClient.ts:32
OPS-003,URL da aplicação na landing,Destino dos CTAs da landing,string operacional,build landing,VITE_APP_URL ou URL default,não aplicável,nenhum,normalização local,env Vite,não aplicável,env → default,appLinks.ts,define links para o produto,rebuild,landing apenas,totalmente integrada,web/landing-page/src/shared/config/appLinks.ts:4
OPS-004,CORS,Origens permitidas da API,lista string,processo API,http://localhost:5173; prod CORS_ALLOWED_ORIGINS,não aplicável,respostas HTTP,binding + CorsConfiguration,YAML/env,sem cache,env prod → YAML dev,Security/Cors config,permite/bloqueia browsers,restart,web/landing/mobile conforme origem,totalmente integrada,application.yml app.cors; application-prod.yml; docker-compose.prod.yml:38
OPS-005,JWT access token,Expiração do token de acesso,duração,processo API,900000 ms; prod via env,não aplicável,auth,binding long,YAML/env; token assinado,não aplicável,env/profile → 15 min,JwtTokenProvider,expiração de sessão curta,restart,web/mobile,totalmente integrada,application.yml:100; JwtTokenProvider.java:35-56
OPS-006,JWT refresh token,Expiração e rotação de refresh,duração/segurança,processo/usuário,604800000 ms,não aplicável,"sign-in, refresh, logout",JWT + hash único + família,"PostgreSQL refresh_tokens com hash único, família, JTI e tipo",revogação de família,cookie/body → DB → configuração,JwtTokenProvider; SignIn/Refresh/LogoutUseCase,"emissão única, rotação atômica, conflito controlado e reuso revoga família",restart só para config,web/mobile,totalmente integrada,JwtTokenProvider UUID jti; RefreshTokenRepositoryAdapter REQUIRES_NEW; testes concorrência/rotação/reuso
OPS-007,Token de redefinição de senha,Expiração do link de reset,duração,processo API,1800000 ms/30 minutos por default; override via env,Web e mobile exibem a validade retornada pela API,POST /api/auth/forgot-password; POST /api/auth/reset-password,JwtProperties @Positive; JWT assinado,somente token,não aplicável,env/profile → YAML/default validado,"JwtTokenProvider; ForgotPasswordUseCase; ForgotPasswordResponse; clientes web/mobile",token e email usam o mesmo prazo; clientes exibem expiresInSeconds,restart para alterar env,web/mobile/backend,totalmente integrada,"JwtTokenProvider com Clock; application.yml; AuthController; testes backend/web; mobile check"
OPS-008,Cookie de refresh,"Secure, HttpOnly, SameSite e path",segurança,processo/browser,HttpOnly; SameSite Strict; /api/auth; Secure=false dev/true prod,não aplicável,sign-in/refresh/logout,binding app.auth.cookie-secure,cookie do browser,não aplicável,env/profile → default,RefreshTokenCookieFactory,protege refresh token web,restart para Secure,web; mobile usa corpo/SecureStore,totalmente integrada,application.yml app.auth; application-prod.yml; RefreshTokenCookieFactory
OPS-009,Rate limits,Limites geral e de autenticação por IP,inteiros/duração,instância API,app.rate-limit tipado: capacidades/janela/proxies confiáveis,não aplicável,filtro global,Bucket4j em memória,Redis com fallback local observável,TTL da janela fixa no Redis,env/profile → YAML validado; forwarded headers só de proxy confiável,RateLimitFilter; RedisRateLimitStore,limite consistente entre instâncias e IP derivado com confiança explícita,restart/deploy,backend,totalmente integrada,RateLimitProperties; RedisRateLimitStore; chave Redis real; testes multi-instância/IP/429
OPS-010,TTL do Redis,Tempos de vida por cache,duração,processo/cache,default 5m; title 10m; tag/public stats 30m; rating 2m; plans 1h,não aplicável,@Cacheable,RedisCacheManager,Redis; maxmemory 128 MB allkeys-lru,TTL apenas otimização,config Java prevalece sobre spring.cache default por cache,use cases cacheados,reduz carga; não garante consistência,restart para configuração,backend,totalmente integrada,"CacheConfig.java:38-50; Redis 7.4.9, 2 chaves, 1.12 MB"
OPS-011,Invalidação de caches backend,Evict após mutações,ação operacional,global,rating possui evicts; title/tag/plan não,não aplicável,mutações dos domínios,anotações @CacheEvict,Redis,ownership central; invalidação registrada after-commit,persistência → deveria evict após commit → leitura,"mutações de title, tag, plan, stats e review",leitura não permanece stale após commit; rollback não invalida,até 10/30/60 min,backend/admin,totalmente integrada,CacheInvalidationPort; AfterCommitCacheInvalidationAdapter; testes commit/rollback/Redis ausente
OPS-012,SMTP,Servidor de e-mail e remetente,conexão operacional,processo API,localhost:1025 dev; env em prod,não aplicável,forgot-password/contato,binding Spring Mail,YAML/env,não aplicável,env/profile → dev,SmtpEmailAdapter; health detalhado,envio quando SMTP existe; ausência local aparece no health detalhado sem derrubar readiness,restart para alterar env SMTP,backend,parcialmente integrada,SMTP localhost:1025 ausente; health detalhado 503/mail DOWN; liveness/readiness 200 UP
OPS-013,Publicação agendada de notícias,Cron do publicador,cron,processo API,configurável em property com fallback do código,Admin notícias,ações publish/schedule,cron Spring,Mongo news,sem cache explícito,env/property → default,scheduled job,publica itens vencidos,restart para alterar cron,backend/admin,totalmente integrada,@Scheduled em news; application properties e testes
OPS-014,Limpeza de refresh tokens,Cron e retenção de tokens expirados,cron/retenção,processo API,app.jwt.cleanup-cron; revoked-retention-days,não aplicável,nenhum endpoint,constante cron,PostgreSQL refresh_tokens,delete em lote,env/profile → YAML validado,RefreshTokenCleanupJob,higiene da tabela,deploy para alterar,backend,totalmente integrada,JwtProperties; RefreshTokenCleanupJob; testes de binding/cron inválido
OPS-015,Rating aggregator,Reconciliação e gatilho manual,cron/token,job :8081,03:00; token vazio desativa manual,admin HTTP,POST /admin/reconcile,token X-Admin-Token,Mongo reviews_aggregate; RabbitMQ,idempotência por recomputação,property/env → default,TitleRatingReconciliationJob,agrega e reconcilia avaliações por cron tipado,restart,job separado; não estava rodando,totalmente integrada,AggregatorProperties; suíte completa 11 testes verde
OPS-016,Reconciliação de contadores,Cron de safety net cross-DB,cron/token,job :8082,a cada hora; token vazio,admin HTTP,POST /admin/reconcile,token X-Admin-Token,PostgreSQL e Mongo,idempotente SET=COUNT,property/env → default,CounterReconciliationJob,reconcilia contadores por cron tipado,restart,job separado; não estava rodando,totalmente integrada,ReconcilerProperties; suíte completa orphan-cleaner 12 testes verde
OPS-017,Limpeza de órfãos,Cron diário para referências cross-DB,cron,job :8082,03:30,nenhuma tela,POST manual compartilhado,guards anti-wipe,PostgreSQL refs + Mongo titles,sem cache,property/env → default,OrphanTitleRefReconciler,remove referências órfãs com guard anti-wipe por cron tipado,restart,job separado; não estava rodando,totalmente integrada,OrphanTitleRefReconciler; ReconcilerProperties; suíte completa 12 testes verde
OPS-018,Trending schedule/zone,Cron e timezone do ranking diário,cron/timezone,job :8083,03:15 America/Sao_Paulo,nenhuma tela,POST /admin/reconcile,binding Spring,Mongo title_trend_daily,reconstruível,env/property → default,TrendingJob,gera ranking diário,restart,job :8083 saudável,totalmente integrada,trending application.yml; health 200; suíte 13/13
OPS-019,Pesos de trending,"Pesos de reads, biblioteca, reviews, comentários e releases",decimais,job :8083,0.45/0.25/0.15/0.10/0.05,nenhuma tela,nenhum endpoint de configuração,binding/testes do score,YAML/env,ranking reconstruível,env Compose → application.yml validado,TrendScoreCalculator,altera ranking,restart/reprocessar data,backend/job,totalmente integrada,TrendingProperties; TrendingConfig; TRENDING_WEIGHTS_* no Compose prod; testes de soma/valores inválidos
OPS-020,Retenção de trending,Dias mantidos no snapshot diário,inteiro,job :8083,90; env prod disponível,nenhuma tela,nenhum endpoint,binding,Mongo title_trend_daily,job remove antigos,env compose → YAML,trending cleanup,limita histórico,restart,job,totalmente integrada,trending.retention-days; docker-compose.prod.yml:157
OPS-021,Tokens administrativos dos jobs,Proteção dos gatilhos manuais,segredo,processo job,vazio desativa em local; obrigatório no Compose prod,nenhuma tela,POST /admin/reconcile nos três jobs,comparação X-Admin-Token,env/.env; valores redigidos,nenhuma,env → vazio,controllers admin dos jobs,autoriza ou desativa execução manual,restart,jobs,totalmente integrada,"AGGREGATOR_ADMIN_TOKEN, RECONCILER_ADMIN_TOKEN, TRENDING_ADMIN_TOKEN; valores não registrados"
OPS-022,Infra Docker local,"PostgreSQL, Mongo, RabbitMQ, Redis e Neo4j",containers,ambiente local,imagens 17/8.0/4/7/5.26,não aplicável,healthchecks Docker,health por serviço,volumes nomeados,não aplicável,Compose → defaults,API/jobs,todos containers saudáveis,restart container,monorepo,totalmente integrada,docker compose ps: 5/5 healthy; versões registradas no relatório
OPS-023,Health da API,Agregação de dependências no Actuator,health,processo :8080,"inclui DB, mail, Mongo, Neo4j, Rabbit e Redis",Actuator liveness/readiness/health,/actuator/health/liveness; /readiness; /health,Spring Actuator,estado em memória,não aplicável,pior componente,Compose/orquestrador usa readiness; operador usa health detalhado,liveness/readiness ficam UP sem SMTP opcional; health detalhado conserva diagnóstico mail DOWN,dinâmico,backend,totalmente integrada,application.yml health groups; Compose prod readiness; smoke atual :18080 200/200/503
